actor_1_name,actor_2_name,actor_3_name,director_name,genres,gross,budget,imdb_score
Jason Statham,Paul Walker,Vin Diesel,James Wan,Action|Crime|Thriller,350034110,190000000,7.2
Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,202351611,190000000,7.0
Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,233914986,200000000,8.0
Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action|Adventure|Sci-Fi,228756232,190000000,7.8
Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure|Fantasy,65171860,195000000,6.3
Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,Drama|Romance,144812796,105000000,7.3
Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action|Adventure|Fantasy|Romance,90755643,200000000,6.6
Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action|Adventure|Sci-Fi,101785482,190000000,7.0
Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,352358779,195000000,6.3
Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action|Adventure|Fantasy,317011114,185000000,6.2
A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,123070338,,6.8
Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,237282182,185000000,7.2
Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action|Adventure|Sci-Fi|Thriller,130468626,185000000,7.5
John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,223806889,180000000,8.4
Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action|Comedy|Crime|Thriller,140080850,140000000,6.2
Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action|Adventure|Sci-Fi,166112167,200000000,5.8
Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation|Drama|Family|Fantasy,137850096,200000000,6.8
Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action|Adventure|Sci-Fi,47375327,176000000,5.4
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,124051759,180000000,6.6
Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure|Family|Fantasy,291709845,180000000,6.9
Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action|Adventure|Sci-Fi,154985087,178000000,7.3
Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action|Crime|Drama|Thriller,533316061,185000000,9.0
John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure|Animation|Comedy|Family,292979556,175000000,8.3
Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,198332128,175000000,6.5
Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,318298180,140000000,7.9
Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure|Drama|Family|Mystery,73820094,170000000,7.5
Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,102176165,145000000,5.2
Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action|Adventure|Comedy|Sci-Fi,161087183,175000000,6.9
Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy|Family|Fantasy,100289690,175000000,5.4
Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action|Adventure|Sci-Fi,100189501,178000000,7.9
Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,150167630,175000000,5.8
Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,356454367,175000000,8.3
Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,Adventure|Drama|Family|Fantasy,362645141,175000000,7.8
Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,312057433,200000000,7.0
Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action|Adventure|Drama|Fantasy,155111815,170000000,6.1
Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,241407328,180000000,7.0
Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action|Adventure|Drama|Sci-Fi,208543795,170000000,7.6
Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,Action|Adventure|Romance|Sci-Fi,,,4.5
Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action|Adventure|Drama|Fantasy,38297305,175000000,6.3
Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action|Adventure|Sci-Fi,259746958,170000000,7.8
Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,238371987,165000000,6.4
Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,93417865,190000000,6.5
Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,222487711,165000000,7.9
Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,189412677,165000000,7.8
Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure|Animation|Family|Fantasy,665426,165000000,6.6
Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,Action|Adventure|Sci-Fi,102315545,165000000,5.5
Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,Adventure|Animation|Family|Fantasy,217387997,165000000,8.2
Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,Action|Sci-Fi,150350192,200000000,6.4
Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,Action|Adventure|Sci-Fi,333130696,170000000,8.1
Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,Adventure|Drama|Sci-Fi,187991439,165000000,8.6
Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,292568851,160000000,8.8
Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,,,8.2
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,303001229,180000000,7.9
Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,Action|Crime|Thriller,144512310,38000000,6.7
Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,Drama|Fantasy|Romance,127490802,150000000,7.8
Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,Action|Adventure|Sci-Fi,146405371,160000000,7.8
Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi,281666058,160000000,6.6
Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,Action|Adventure|Family|Fantasy,63143812,150000000,6.1
Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,Action|Adventure|Drama|Thriller,60655503,160000000,5.6
Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,Adventure|Family|Fantasy,76846624,170000000,6.4
Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,320706665,160000000,6.1
Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,Action|Adventure|Fantasy,46978995,160000000,7.3
J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,Action|Adventure|Sci-Fi,89732035,155000000,6.6
Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,Adventure|Family|Fantasy,104383624,155000000,6.3
Jennifer Garner,Jaime King,Mako,Michael Bay,Action|Drama|History|Romance|War,198539855,140000000,6.1
Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,318759914,150000000,7.1
Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,34293771,155000000,5.5
Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,Adventure|Family|Fantasy|Mystery,292000866,150000000,7.5
Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,Adventure|Family|Fantasy|Mystery,289994397,150000000,7.6
Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,Action|Drama,227946274,150000000,6.4
Will Smith,Alice Braga,Willow Smith,Francis Lawrence,Drama|Horror|Sci-Fi,256386216,150000000,7.2
Johnny Depp,Christopher Lee,David Kelly,Tim Burton,Adventure|Comedy|Family|Fantasy,206456431,150000000,6.7
Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,Animation|Comedy|Family|Fantasy,206435493,150000000,8.0
Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,Action|Adventure,205343774,150000000,8.3
Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,Action|Adventure|Animation|Comedy|Family,179982968,150000000,6.7
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,177243721,150000000,5.9
Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,179883016,150000000,6.7
Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,Action|Sci-Fi,139259759,150000000,6.7
Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,400736600,150000000,7.6
Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,Action|Sci-Fi,281492479,150000000,7.2
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,Action|Adventure|Fantasy,206360018,170000000,7.1
Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,Action|Adventure|Sci-Fi|Thriller,153629485,150000000,8.1
Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,Mystery|Thriller,133375846,150000000,6.7
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Kenneth Branagh,Action|Adventure|Fantasy,181015141,150000000,7.0
Chloë Grace Moretz,Diedrich Bader,James Lipton,Byron Howard,Adventure|Animation|Comedy|Drama|Family,114053579,150000000,6.9
Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,119420252,150000000,5.1
Liam Neeson,Edgar Ramírez,Lily James,Jonathan Liebesman,Action|Adventure|Fantasy,83640426,150000000,5.8
Johnny Depp,Chloë Grace Moretz,Christopher Lee,Tim Burton,Comedy|Fantasy|Horror,79711678,100000000,6.2
Tom Cruise,Jeremy Renner,Sean Harris,Christopher McQuarrie,Action|Adventure|Thriller,195000874,150000000,7.4
Anthony Hopkins,Simon Merrells,Art Malik,Joe Johnston,Drama|Fantasy|Horror|Thriller,61937495,150000000,5.8
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,124051759,180000000,6.6
Matthew Broderick,Oprah Winfrey,Rip Torn,Steve Hickner,Adventure|Animation|Comedy|Family,126597121,150000000,6.2
Angelina Jolie Pitt,Gary Oldman,Mike Bell,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,165230261,150000000,7.3
Seychelle Gabriel,Noah Ringer,Aasif Mandvi,M. Night Shyamalan,Action|Adventure|Family|Fantasy,131564731,150000000,4.2
Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,J.J. Abrams,Action|Adventure|Thriller,133382309,150000000,6.9
Channing Tatum,Jake Weber,Matt Craven,Roland Emmerich,Action|Drama|Thriller,73103784,150000000,6.4
Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,21379315,150000000,5.4
Hugh Jackman,Kate Winslet,David Suchet,David Bowers,Adventure|Animation|Comedy|Family,64459316,149000000,6.7
Hugh Jackman,Cara Delevingne,Nonso Anozie,Joe Wright,Adventure|Family|Fantasy,34964818,150000000,5.8
Ty Burrell,Zach Callison,Karan Brar,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,111505642,145000000,6.9
Brad Pitt,Orlando Bloom,Julian Glover,Wolfgang Petersen,Adventure,133228348,175000000,7.2
Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Eric Darnell,Adventure|Animation|Comedy|Family,216366733,145000000,6.9
Toby Stephens,Colin Salmon,Rick Yune,Lee Tamahori,Action|Adventure|Thriller,160201106,142000000,6.1
Ed Begley Jr.,Kate McKinnon,Zach Woods,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,118099659,144000000,5.5
Will Smith,Rosario Dawson,Rip Torn,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,190418803,140000000,6.1
Robin Wright,Anthony Hopkins,Sebastian Roché,Robert Zemeckis,Action|Adventure|Animation|Fantasy,82161969,150000000,6.3
J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,143523463,145000000,7.2
Tom Cruise,Jeremy Renner,Michael Nyqvist,Brad Bird,Action|Adventure|Thriller,209364921,145000000,7.4
Hugh Jackman,Kamil McFadden,Khamani Griffin,Peter Ramsey,Adventure|Animation|Family|Fantasy,103400692,145000000,7.3
John Michael Higgins,Richard Burgi,David Herman,Dean Parisot,Comedy|Crime,110332737,100000000,6.1
Tom Cruise,Tony Goldwyn,Chad Lindberg,Edward Zwick,Action|Drama|History|War,111110575,140000000,7.7
Christian Bale,María Valverde,Ben Mendelsohn,Ridley Scott,Action|Adventure|Drama,65007045,140000000,6.1
Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,J.J. Abrams,Action|Adventure|Sci-Fi,257704099,150000000,8.0
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,403706375,139000000,7.3
Gerard Butler,Djimon Hounsou,America Ferrera,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,176997107,145000000,7.9
Gerard Butler,Elodie Yung,Bryan Brown,Alex Proyas,Action|Adventure|Fantasy,31141074,140000000,5.5
Sam Shepard,Joe Morton,Richard Roxburgh,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,31704416,135000000,5.0
Matt Frewer,Billy Crudup,Stephen McHattie,Zack Snyder,Action|Drama|Mystery|Sci-Fi,107503316,130000000,7.7
Kevin Rankin,Regi Davis,Celia Weston,Ang Lee,Action|Sci-Fi,132122995,137000000,5.7
Channing Tatum,Dwayne Johnson,Elodie Yung,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,122512052,130000000,5.8
Matthew McConaughey,Rainn Wilson,Delroy Lindo,Breck Eisner,Action|Adventure|Comedy|Thriller,68642452,130000000,6.0
Steve Buscemi,Ming-Na Wen,Jean Simmons,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,32131830,137000000,6.4
Chris Evans,Dominic Cooper,Hayley Atwell,Joe Johnston,Action|Adventure|Sci-Fi,176636816,140000000,6.9
James D'Arcy,Lee Ingleby,David Threlfall,Peter Weir,Action|Adventure|Drama|History|War,93926386,150000000,7.4
Robert Pattinson,Kristen Stewart,Taylor Lautner,Bill Condon,Adventure|Drama|Fantasy|Romance,292298923,120000000,5.5
Robin Williams,Brad Pitt,Common,George Miller,Animation|Comedy|Family|Musical,63992328,135000000,5.9
Ty Burrell,Peter Mensah,William Hurt,Louis Leterrier,Action|Adventure|Sci-Fi,134518390,150000000,6.8
Mark Rylance,Penelope Wilton,Rafe Spall,Steven Spielberg,Adventure|Family|Fantasy,52792307,140000000,6.8
Leonardo DiCaprio,Tom Hardy,Lukas Haas,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,183635922,135000000,8.1
Ryan Reynolds,Snoop Dogg,Ben Schwartz,David Soren,Adventure|Animation|Comedy|Family|Sport,83024900,135000000,6.5
Johnny Depp,Ray Winstone,Stephen Root,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,123207194,135000000,7.2
Benedict Cumberbatch,Annet Mahendru,Andy Richter,Eric Darnell,Adventure|Animation|Comedy|Family,83348920,132000000,6.7
Matt Damon,Edgar Ramírez,Albert Finney,Paul Greengrass,Action|Mystery|Thriller,227137090,110000000,8.1
Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Mark Osborne,Action|Adventure|Animation|Comedy|Family,215395021,130000000,7.6
Judy Greer,Hayley Atwell,T.I.,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,180191634,130000000,7.4
Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Francis Lawrence,Adventure|Sci-Fi|Thriller,424645577,130000000,7.6
Robert Pattinson,Kristen Stewart,Taylor Lautner,Bill Condon,Adventure|Drama|Fantasy|Romance,292298923,120000000,5.5
Jim Parsons,Matt Jones,April Winchell,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,177343675,135000000,6.7
Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Steven Spielberg,Adventure|Sci-Fi|Thriller,234277056,132000000,6.5
Will Smith,Henry Rollins,Jordi Mollà,Michael Bay,Action|Comedy|Crime|Thriller,138396624,130000000,6.6
Salma Hayek,Constance Marie,Amy Sedaris,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,149234747,130000000,6.7
Angelina Jolie Pitt,Andre Braugher,August Diehl,Phillip Noyce,Action|Crime|Mystery|Thriller,118311368,110000000,6.4
Anthony Hopkins,Emma Watson,Logan Lerman,Darren Aronofsky,Action|Adventure|Drama,101160529,125000000,5.8
Toby Jones,Mackenzie Crook,Tony Curran,Steven Spielberg,Action|Adventure|Family|Mystery,77564037,135000000,7.4
Daniel Radcliffe,Gary Oldman,Rupert Grint,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,249358727,130000000,7.8
Essie Davis,Bryan Brown,Eddie Baroo,Baz Luhrmann,Adventure|Drama|Romance|War,49551662,130000000,6.6
Will Smith,Zoë Kravitz,Glenn Morshower,M. Night Shyamalan,Action|Adventure|Sci-Fi,60522097,130000000,4.9
Alfre Woodard,D.B. Sweeney,Della Reese,Eric Leighton,Adventure|Animation|Family|Thriller,137748063,127500000,6.5
Rupert Grint,Dave Legeno,Ralph Ineson,Matt Birch,Action|Fantasy,,,7.5
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,113733726,127000000,6.2
J.K. Simmons,Brad Pitt,Will Ferrell,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,148337537,130000000,7.3
Daniel Radcliffe,Fiona Shaw,Verne Troyer,Chris Columbus,Adventure|Family|Fantasy,317557891,125000000,7.5
Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Robert Schwentke,Action|Comedy|Fantasy,33592415,130000000,5.6
Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,,,8.2
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,305388685,140000000,8.1
Rupert Grint,Toby Jones,Alfred Enoch,Matt Birch,Fantasy,,,6.4
Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi|Thriller,337103873,125000000,6.7
Tom Hanks,Seth Gabel,Jürgen Prochnow,Ron Howard,Mystery|Thriller,217536138,125000000,6.6
Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,131536019,103000000,6.4
Hugh Jackman,Bruce Davison,Aaron Stanford,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,214948780,110000000,7.5
Paul Walker,Vin Diesel,Dwayne Johnson,Justin Lin,Action|Crime|Thriller,209805005,125000000,7.3
Robert Downey Jr.,Eddie Marsan,Paul Anderson,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,186830669,125000000,7.5
Liam Neeson,Jason Flemyng,Alexa Davalos,Louis Leterrier,Action|Adventure|Fantasy,163192114,125000000,5.8
Jeremy Renner,Scott Glenn,Stacy Keach,Tony Gilroy,Action|Adventure|Thriller,113165635,125000000,6.7
Clint Howard,T.J. Thyne,Molly Shannon,Ron Howard,Comedy|Family|Fantasy,260031035,123000000,6.0
Jake Gyllenhaal,Dennis Quaid,Sela Ward,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,186739919,125000000,6.4
Tom Cruise,Dougray Scott,Richard Roxburgh,John Woo,Action|Adventure|Thriller,215397307,125000000,6.1
Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Wolfgang Petersen,Action|Adventure|Drama|Thriller,182618434,140000000,6.4
Chris Evans,Ioan Gruffudd,Andre Braugher,Tim Story,Action|Adventure|Sci-Fi|Thriller,131920333,130000000,5.6
Suraj Sharma,Rafe Spall,Tabu,Ang Lee,Adventure|Drama|Fantasy,124976634,120000000,8.0
Nicolas Cage,Matt Long,Peter Fonda,Mark Steven Johnson,Action|Fantasy|Thriller,115802596,110000000,5.2
Matt Damon,Riz Ahmed,Ato Essandoh,Paul Greengrass,Action|Thriller,108521835,120000000,7.1
Demi Moore,Bernie Mac,Justin Theroux,McG,Action|Adventure|Comedy|Crime,100685880,120000000,4.8
Michael Fassbender,Charlize Theron,Sean Harris,Ridley Scott,Adventure|Mystery|Sci-Fi,126464904,130000000,7.0
Nathan Lane,Brad Garrett,Melanie Griffith,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,64736114,120000000,5.4
